Station,Trafic,Année,Trafic_Année_Précedente,Réseau_Métro,Réseau_RER
CHARDON-LAGACHE,651234,2013,4779337.536585365,1,0
OLYMPIADES,6886845,2013,4779337.536585365,1,0
GIF-SUR-YVETTE,695806,2013,4779337.536585365,0,1
VILLEJUIF-PAUL VAILLANT-COUTURIER,2261934,2013,4779337.536585365,1,0
GARE D'AUSTERLITZ,8375268,2013,4779337.536585365,1,0
CHATEAU-LANDON,1644923,2013,4779337.536585365,1,0
SAINT-PAUL,6515486,2013,4779337.536585365,1,0
PLACE D'ITALIE,11534907,2013,4779337.536585365,1,0
GUY MOQUET,4660620,2013,4779337.536585365,1,0
VILLEJUIF-LOUIS ARAGON,5814857,2013,4779337.536585365,1,0
OURCQ,3792001,2013,4779337.536585365,1,0
ALEXANDRE DUMAS,3919412,2013,4779337.536585365,1,0
PERNETY,3348989,2013,4779337.536585365,1,0
PASSY,3908764,2013,4779337.536585365,1,0
PLACE DES FETES,3321050,2013,4779337.536585365,1,0
FONTAINE-MICHALON,607405,2013,4779337.536585365,0,1
MAIRIE DE MONTREUIL,6328612,2013,4779337.536585365,1,0
CHATEAU ROUGE,6874733,2013,4779337.536585365,1,0
GALLIENI,6316117,2013,4779337.536585365,1,0
COUR SAINT-EMILION,5857110,2013,4779337.536585365,1,0
GEORGE V,6302761,2013,4779337.536585365,1,0
MAIRIE D'ISSY,4322511,2013,4779337.536585365,1,0
MARCEL SEMBAT,5942496,2013,4779337.536585365,1,0
LES COURTILLES,3944225,2013,4779337.536585365,1,0
PORTE DE VINCENNES,5878175,2013,4779337.536585365,1,0
RUE DES BOULETS,2740221,2013,4779337.536585365,1,0
BERCY,5473870,2013,4779337.536585365,1,0
RIQUET,2537863,2013,4779337.536585365,1,0
DENFERT-ROCHEREAU,4339678,2013,4779337.536585365,1,0
LE PELETIER,2271055,2013,4779337.536585365,1,0
JUSSIEU,4202204,2013,4779337.536585365,1,0
LIEGE,1712165,2013,4779337.536585365,1,0
GONCOURT,3740119,2013,4779337.536585365,1,0
SUCY-BONNEUIL,2115638,2013,4779337.536585365,0,1
PORTE DES LILAS,3724568,2013,4779337.536585365,1,0
LE VESINET-LE PECQ,2046992,2013,4779337.536585365,0,1
VAVIN,2212681,2013,4779337.536585365,1,0
MONTPARNASSE-BIENVENUE,31919734,2013,4779337.536585365,1,0
NOTRE-DAME-DES-CHAMPS,2077450,2013,4779337.536585365,1,0
PLACE CLICHY,9356430,2013,4779337.536585365,1,0
QUATRE-SEPTEMBRE,1758632,2013,4779337.536585365,1,0
BARBES-ROCHECHOUART,8392009,2013,4779337.536585365,1,0
SEGUR,1604694,2013,4779337.536585365,1,0
LE KREMLIN-BICETRE,4428481,2013,4779337.536585365,1,0
GARE DE LYON-RER,35326982,2013,4779337.536585365,0,1
FILLES DU CALVAIRE,1784167,2013,4779337.536585365,1,0
PORT ROYAL,3140952,2013,4779337.536585365,0,1
PELLEPORT,386605,2013,4779337.536585365,1,0
NOGENT-SUR-MARNE,2810184,2013,4779337.536585365,0,1
NOISY-LE-GRAND-MONT D'EST,6788250,2013,4779337.536585365,0,1
GENTILLY,1907036,2013,4779337.536585365,0,1
PORTE DE SAINT-OUEN,3762943,2013,4779337.536585365,1,0
GARE DU NORD,49977513,2013,4779337.536585365,1,0
SAINT-PLACIDE,3287084,2013,4779337.536585365,1,0
MARCADET-POISSONNIERS,6381604,2013,4779337.536585365,1,0
PLACE MONGE,3057167,2013,4779337.536585365,1,0
PEREIRE,4787487,2013,4779337.536585365,1,0
SOLFERINO,2632023,2013,4779337.536585365,1,0
PONT DE SEVRES,4557271,2013,4779337.536585365,1,0
BEL AIR,2319026,2013,4779337.536585365,1,0
GARIBALDI,3127029,2013,4779337.536585365,1,0
CITE UNIVERSITAIRE,5848347,2013,4779337.536585365,0,1
PALAISEAU,933098,2013,4779337.536585365,0,1
BAGNEUX,1941898,2013,4779337.536585365,0,1
BOBIGNY-PABLO PICASSO,7135266,2013,4779337.536585365,1,0
PORTE DE CLIGNANCOURT,8699614,2013,4779337.536585365,1,0
CONVENTION,5792331,2013,4779337.536585365,1,0
CONCORDE,7176639,2013,4779337.536585365,1,0
MENILMONTANT,4316980,2013,4779337.536585365,1,0
PONT DE LEVALLOIS-BECON,5100344,2013,4779337.536585365,1,0
VAUGIRARD,3910263,2013,4779337.536585365,1,0
JAURES,4992926,2013,4779337.536585365,1,0
MAIRIE DE MONTROUGE**,2916681,2013,4779337.536585365,1,0
FAIDHERBE-CHALIGNY,3079358,2013,4779337.536585365,1,0
LE PARC DE SAINT-MAUR,2090558,2013,4779337.536585365,0,1
SAINT-DENIS-PORTE DE PARIS,2983942,2013,4779337.536585365,1,0
LAUMIERE,4726950,2013,4779337.536585365,1,0
MAIRIE D'IVRY,2907554,2013,4779337.536585365,1,0
BOUCICAUT,3030137,2013,4779337.536585365,1,0
BOISSIERE,2150445,2013,4779337.536585365,1,0
RANELAGH,2390818,2013,4779337.536585365,1,0
TEMPLE,1207453,2013,4779337.536585365,1,0
IENA,2280935,2013,4779337.536585365,1,0
QUAI DE LA RAPEE,986508,2013,4779337.536585365,1,0
EDGAR QUINET,2241317,2013,4779337.536585365,1,0
CHARLES DE GAULLE-ETOILE-RER,9405140,2013,4779337.536585365,0,1
PICPUS,1405460,2013,4779337.536585365,1,0
NEUILLY-PLAISANCE,4769659,2013,4779337.536585365,0,1
BOTZARIS,951182,2013,4779337.536585365,1,0
ORSAY-VILLE,2202140,2013,4779337.536585365,0,1
NOISIEL,2599945,2013,4779337.536585365,0,1
BRY-SUR-MARNE,1966285,2013,4779337.536585365,0,1
LA VARENNE-CHENNEVIERES,1863145,2013,4779337.536585365,0,1
QUAI DE LA GARE,3420407,2013,4779337.536585365,1,0
MAIRIE DES LILAS,4673141,2013,4779337.536585365,1,0
SAINT-REMY-LES-CHEVREUSE,884240,2013,4779337.536585365,0,1
PYRENEES,3457271,2013,4779337.536585365,1,0
CORENTIN CARIOU,3178424,2013,4779337.536585365,1,0
PARC DE SCEAUX,527458,2013,4779337.536585365,0,1
HOTEL DE VILLE,11953352,2013,4779337.536585365,1,0
SAINT-MICHEL,8797595,2013,4779337.536585365,1,0
CRIMEE,6945245,2013,4779337.536585365,1,0
PONT DE NEUILLY,6902931,2013,4779337.536585365,1,0
SEVRES-BABYLONE,5540265,2013,4779337.536585365,1,0
REAUMUR-SEBASTOPOL,4925640,2013,4779337.536585365,1,0
MAIRIE DE SAINT-OUEN,3716189,2013,4779337.536585365,1,0
CAMBRONNE,3097164,2013,4779337.536585365,1,0
SAINT-MAUR,2960155,2013,4779337.536585365,1,0
PORTE DE LA CHAPELLE,2905144,2013,4779337.536585365,1,0
BERAULT,2723583,2013,4779337.536585365,1,0
PORTE D'ITALIE,2486263,2013,4779337.536585365,1,0
LOURMEL,2483440,2013,4779337.536585365,1,0
CRETEIL-L'ECHAT,2361971,2013,4779337.536585365,1,0
EXELMANS,2060188,2013,4779337.536585365,1,0
PHILIPPE AUGUSTE,1876528,2013,4779337.536585365,1,0
SAINT-GEORGES,1279016,2013,4779337.536585365,1,0
SAINT-FARGEAU,884413,2013,4779337.536585365,1,0
CHATELET-LES HALLES-RER,18419580,2013,4779337.536585365,0,1
LUXEMBOURG,5495050,2013,4779337.536585365,0,1
MARNE-LA-VALLEE-CHESSY,4653134,2013,4779337.536585365,0,1
ASSEMBLEE NATIONALE,1138571,2013,4779337.536585365,1,0
LOGNES,1563151,2013,4779337.536585365,0,1
GAMBETTA,7445691,2013,4779337.536585365,1,0
ANVERS,6888848,2013,4779337.536585365,1,0
CARREFOUR PLEYEL,2829368,2013,4779337.536585365,1,0
NATIONALE,2710907,2013,4779337.536585365,1,0
COURCELLES,2650620,2013,4779337.536585365,1,0
TRINITE-D'ESTIENNE D'ORVES,2296191,2013,4779337.536585365,1,0
MALAKOFF-RUE ETIENNE DOLET,1881782,2013,4779337.536585365,1,0
GARE DU NORD-RER,46757083,2013,4779337.536585365,0,1
VAL DE FONTENAY,11863754,2013,4779337.536585365,0,1
SAINT-MICHEL-NOTRE-DAME,7788001,2013,4779337.536585365,0,1
FONTENAY-AUX-ROSES,1052661,2013,4779337.536585365,0,1
LA DEFENSE,14275382,2013,4779337.536585365,1,0
VILLIERS,6309746,2013,4779337.536585365,1,0
CHATILLON-MONTROUGE,6246622,2013,4779337.536585365,1,0
SENTIER,3568784,2013,4779337.536585365,1,0
NOTRE-DAME-DE-LORETTE,3007196,2013,4779337.536585365,1,0
RASPAIL,1836323,2013,4779337.536585365,1,0
AUBERVILLIERS-PANTIN-QUATRE CHEMINS,7051944,2013,4779337.536585365,1,0
LA CHAPELLE,6503089,2013,4779337.536585365,1,0
REUILLY-DIDEROT,5662974,2013,4779337.536585365,1,0
ALESIA,5237657,2013,4779337.536585365,1,0
CHATEAU DE VINCENNES,5122469,2013,4779337.536585365,1,0
TOLBIAC,3582639,2013,4779337.536585365,1,0
JOURDAIN,3462099,2013,4779337.536585365,1,0
ROME,2818857,2013,4779337.536585365,1,0
LIBERTE,2557299,2013,4779337.536585365,1,0
LAPLACE,3013290,2013,4779337.536585365,0,1
RICHELIEU-DROUOT,5362641,2013,4779337.536585365,1,0
BLANCHE,4251153,2013,4779337.536585365,1,0
MARX DORMOY,3753736,2013,4779337.536585365,1,0
BOURSE,3288142,2013,4779337.536585365,1,0
ECOLE VETERINAIRE DE MAISONS-ALFORT,3175166,2013,4779337.536585365,1,0
PONT MARIE,1624879,2013,4779337.536585365,1,0
PONT NEUF,1614109,2013,4779337.536585365,1,0
BOURG-LA-REINE,4164559,2013,4779337.536585365,0,1
JOINVILLE-LE-PONT,3496468,2013,4779337.536585365,0,1
LE GUICHET,837809,2013,4779337.536585365,0,1
MASSY-VERRIERES,554518,2013,4779337.536585365,0,1
HAVRE-CAUMARTIN,7899688,2013,4779337.536585365,1,0
CHAUSSEE D'ANTIN-LA FAYETTE,7600254,2013,4779337.536585365,1,0
STALINGRAD,7588899,2013,4779337.536585365,1,0
PERE LACHAISE,4682893,2013,4779337.536585365,1,0
MICHEL-ANGE-AUTEUIL,2222709,2013,4779337.536585365,1,0
PRE-SAINT-GERVAIS,365930,2013,4779337.536585365,1,0
BIR-HAKEIM,8157090,2013,4779337.536585365,1,0
RUE DE LA POMPE,3138962,2013,4779337.536585365,1,0
JACQUES BONSERGENT,2727155,2013,4779337.536585365,1,0
DUGOMMIER,2674338,2013,4779337.536585365,1,0
VOLONTAIRES,2511126,2013,4779337.536585365,1,0
CITE,2317889,2013,4779337.536585365,1,0
MABILLON,1980247,2013,4779337.536585365,1,0
PORTE DE CHARENTON,1642061,2013,4779337.536585365,1,0
EUROPE,1619580,2013,4779337.536585365,1,0
PORTE D'AUTEUIL,687237,2013,4779337.536585365,1,0
DANUBE,600883,2013,4779337.536585365,1,0
MASSY-PALAISEAU,8633119,2013,4779337.536585365,0,1
SAINT-GERMAIN-EN-LAYE,4313384,2013,4779337.536585365,0,1
STRASBOURG-SAINT-DENIS,9751180,2013,4779337.536585365,1,0
ESPLANADE DE LA DEFENSE,9843051,2013,4779337.536585365,1,0
INVALIDES,7283347,2013,4779337.536585365,1,0
