Rang,Réseau,Station,Trafic,Ville,Année
188,Métro,LA FOURCHE,2904781,Paris,2013
4,RER,NANTERRE-PREFECTURE,23111276,Nanterre,2013
215,Métro,VILLEJUIF-LEO LAGRANGE,2558494,Villejuif,2013
25,RER,SAINT-MAUR-CRETEIL,3645415,Saint-Maur des Fossés,2013
245,Métro,MAISONS-ALFORT-LES JUILLIOTTES,2085806,Maisons -Alfort,2013
270,Métro,MONCEAU,1654418,Paris,2013
277,Métro,SULLY-MORLAND,1575223,Paris,2013
280,Métro,CHEMIN VERT,1483745,Paris,2013
297,Métro,CHARDON-LAGACHE,651234,Paris,2013
45,Métro,OLYMPIADES,6886845,Paris,2013
59,RER,GIF-SUR-YVETTE,695806,Gif sur Yvette,2013
236,Métro,VILLEJUIF-PAUL VAILLANT-COUTURIER,2261934,Villejuif,2013
28,Métro,GARE D'AUSTERLITZ,8375268,Paris,2013
271,Métro,CHATEAU-LANDON,1644923,Paris,2013
48,Métro,SAINT-PAUL,6515486,Paris,2013
16,Métro,PLACE D'ITALIE,11534907,Paris,2013
97,Métro,GUY MOQUET,4660620,Paris,2013
64,Métro,VILLEJUIF-LOUIS ARAGON,5814857,Villejuif,2013
136,Métro,OURCQ,3792001,Paris,2013
127,Métro,ALEXANDRE DUMAS,3919412,Paris,2013
157,Métro,PERNETY,3348989,Paris,2013
130,Métro,PASSY,3908764,Paris,2013
159,Métro,PLACE DES FETES,3321050,Paris,2013
62,RER,FONTAINE-MICHALON,607405,Antony,2013
51,Métro,MAIRIE DE MONTREUIL,6328612,Montreuil,2013
46,Métro,CHATEAU ROUGE,6874733,Paris,2013
52,Métro,GALLIENI,6316117,Bagnolet,2013
63,Métro,COUR SAINT-EMILION,5857110,Paris,2013
54,Métro,GEORGE V,6302761,Paris,2013
111,Métro,MAIRIE D'ISSY,4322511,Issy Les Moulineaux,2013
60,Métro,MARCEL SEMBAT,5942496,Boulogne Billancourt,2013
124,Métro,LES COURTILLES,3944225,Asnières sur Seine,2013
62,Métro,PORTE DE VINCENNES,5878175,Paris,2013
198,Métro,RUE DES BOULETS,2740221,Paris,2013
69,Métro,BERCY,5473870,Paris,2013
218,Métro,RIQUET,2537863,Paris,2013
109,Métro,DENFERT-ROCHEREAU,4339678,Paris,2013
235,Métro,LE PELETIER,2271055,Paris,2013
115,Métro,JUSSIEU,4202204,Paris,2013
267,Métro,LIEGE,1712165,Paris,2013
140,Métro,GONCOURT,3740119,Paris,2013
42,RER,SUCY-BONNEUIL,2115638,Sucy-en-Brie,2013
141,Métro,PORTE DES LILAS,3724568,Paris,2013
44,RER,LE VESINET-LE PECQ,2046992,Le Vésinet,2013
239,Métro,VAVIN,2212681,Paris,2013
4,Métro,MONTPARNASSE-BIENVENUE,31919734,Paris,2013
246,Métro,NOTRE-DAME-DES-CHAMPS,2077450,Paris,2013
21,Métro,PLACE CLICHY,9356430,Paris,2013
265,Métro,QUATRE-SEPTEMBRE,1758632,Paris,2013
27,Métro,BARBES-ROCHECHOUART,8392009,Paris,2013
276,Métro,SEGUR,1604694,Paris,2013
107,Métro,LE KREMLIN-BICETRE,4428481,Kremlin-Bicêtre,2013
2,RER,GARE DE LYON-RER,35326982,Paris,2013
262,Métro,FILLES DU CALVAIRE,1784167,Paris,2013
31,RER,PORT ROYAL,3140952,Paris,2013
301,Métro,PELLEPORT,386605,Paris,2013
36,RER,NOGENT-SUR-MARNE,2810184,Nogent-sur-Marne,2013
10,RER,NOISY-LE-GRAND-MONT D'EST,6788250,Noisy-le-Grand,2013
47,RER,GENTILLY,1907036,Gentilly,2013
138,Métro,PORTE DE SAINT-OUEN,3762943,Paris,2013
1,Métro,GARE DU NORD,49977513,Paris,2013
162,Métro,SAINT-PLACIDE,3287084,Paris,2013
50,Métro,MARCADET-POISSONNIERS,6381604,Paris,2013
175,Métro,PLACE MONGE,3057167,Paris,2013
92,Métro,PEREIRE,4787487,Paris,2013
207,Métro,SOLFERINO,2632023,Paris,2013
99,Métro,PONT DE SEVRES,4557271,Boulogne Billancourt,2013
231,Métro,BEL AIR,2319026,Paris,2013
169,Métro,GARIBALDI,3127029,Saint Ouen,2013
15,RER,CITE UNIVERSITAIRE,5848347,Paris,2013
54,RER,PALAISEAU,933098,Palaiseau,2013
46,RER,BAGNEUX,1941898,Cachan,2013
38,Métro,BOBIGNY-PABLO PICASSO,7135266,Bobigny,2013
26,Métro,PORTE DE CLIGNANCOURT,8699614,Paris,2013
65,Métro,CONVENTION,5792331,Paris,2013
37,Métro,CONCORDE,7176639,Paris,2013
112,Métro,MENILMONTANT,4316980,Paris,2013
83,Métro,PONT DE LEVALLOIS-BECON,5100344,Levallois-Perret,2013
129,Métro,VAUGIRARD,3910263,Paris,2013
85,Métro,JAURES,4992926,Paris,2013
185,Métro,MAIRIE DE MONTROUGE**,2916681,Montrouge,2013
172,Métro,FAIDHERBE-CHALIGNY,3079358,Paris,2013
43,RER,LE PARC DE SAINT-MAUR,2090558,Saint-Maur des Fossés,2013
182,Métro,SAINT-DENIS-PORTE DE PARIS,2983942,Saint Denis,2013
93,Métro,LAUMIERE,4726950,Paris,2013
186,Métro,MAIRIE D'IVRY,2907554,Ivry,2013
178,Métro,BOUCICAUT,3030137,Paris,2013
241,Métro,BOISSIERE,2150445,Paris,2013
226,Métro,RANELAGH,2390818,Paris,2013
288,Métro,TEMPLE,1207453,Paris,2013
234,Métro,IENA,2280935,Paris,2013
291,Métro,QUAI DE LA RAPEE,986508,Paris,2013
237,Métro,EDGAR QUINET,2241317,Paris,2013
7,RER,CHARLES DE GAULLE-ETOILE-RER,9405140,Paris,2013
283,Métro,PICPUS,1405460,Paris,2013
18,RER,NEUILLY-PLAISANCE,4769659,Neuilly-sur-Seine,2013
293,Métro,BOTZARIS,951182,Paris,2013
40,RER,ORSAY-VILLE,2202140,Orsay,2013
37,RER,NOISIEL,2599945,Noisiel,2013
45,RER,BRY-SUR-MARNE,1966285,Bry-sur-Marne,2013
49,RER,LA VARENNE-CHENNEVIERES,1863145,saint-Maur des Fossés,2013
153,Métro,QUAI DE LA GARE,3420407,Paris,2013
96,Métro,MAIRIE DES LILAS,4673141,Les Lilas,2013
