Rang,Réseau,Station,Trafic,Ville,Année
26,Métro,SAINT-MICHEL,8695006,Paris,2014
251,Métro,RICHARD LENOIR,1999612,Paris,2014
30,Métro,CHAUSSEE D'ANTIN-LA FAYETTE,7612896,Paris,2014
285,Métro,SAINT-GEORGES,1286815,Paris,2014
34,Métro,GAMBETTA,7365448,Paris,2014
295,Métro,SAINT-FARGEAU,823762,Paris,2014
51,Métro,PORTE DE VINCENNES,6398167,Paris,2014
21,RER,NOISY-CHAMPS,4319444,Champs-sur-Marne,2014
92,Métro,PLAISANCE,4821682,Paris,2014
41,RER,ORSAY-VILLE,2230574,Orsay,2014
135,Métro,MARX DORMOY,3708018,Paris,2014
296,Métro,PORTE D'AUTEUIL,682814,Paris,2014
138,Métro,PORTE DES LILAS,3627528,Paris,2014
28,RER,JOINVILLE-LE-PONT,3564470,Joinville-le-Pont,2014
145,Métro,LOUISE MICHEL,3543857,Levallois-Perret,2014
34,RER,LA CROIX DE BERNY,2975417,Antony,2014
166,Métro,LOUVRE,3174681,Paris,2014
37,RER,NOISIEL,2644814,Noisiel,2014
190,Métro,BILLANCOURT,2903875,Boulogne Billancourt,2014
80,Métro,ALESIA,5208628,Paris,2014
195,Métro,TUILERIES,2877169,Paris,2014
82,Métro,DAUMESNIL,5140492,Paris,2014
253,Métro,BOISSIERE,1984327,Paris,2014
143,Métro,POISSONNIERE,3569568,Paris,2014
264,Métro,FILLES DU CALVAIRE,1832013,Paris,2014
157,Métro,PASSY,3366482,Paris,2014
279,Métro,AVENUE EMILE ZOLA,1551758,Paris,2014
221,Métro,TELEGRAPHE,2465718,Paris,2014
7,RER,CHARLES DE GAULLE-ETOILE-RER,9429351,Paris,2014
227,Métro,LOUIS BLANC,2386942,Paris,2014
17,RER,MARNE-LA-VALLEE-CHESSY,5078380,Montévrain,2014
229,Métro,IENA,2383490,Paris,2014
33,RER,ARCUEIL-CACHAN,3030454,Arcueil,2014
234,Métro,FRONT POPULAIRE,2287004,Saint Denis / Aubervilliers,2014
40,RER,LE VESINET-LE PECQ,2284313,Le Vésinet,2014
235,Métro,LE PELETIER,2258996,Paris,2014
52,RER,LE VESINET-CENTRE,1236912,Le Vésinet,2014
42,RER,SUCY-BONNEUIL,2121295,Sucy-en-Brie,2014
53,RER,FONTENAY-AUX-ROSES,1050781,Fontenay aux roses,2014
12,Métro,CHATELET,12502708,Paris,2014
13,Métro,OPERA,12288027,Paris,2014
14,Métro,FRANKLIN D. ROOSEVELT,12053554,Paris,2014
123,Métro,OURCQ,3930609,Paris,2014
17,Métro,ESPLANADE DE LA DEFENSE,9992248,Puteaux,2014
203,Métro,JACQUES BONSERGENT,2667291,Paris,2014
99,Métro,ECOLE MILITAIRE,4640723,Paris,2014
271,Métro,SEGUR,1735579,Paris,2014
148,Métro,DUROC,3515234,Paris,2014
22,RER,BOURG-LA-REINE,4202460,Bourg la Reine,2014
162,Métro,SAINT-PLACIDE,3278515,Paris,2014
32,Métro,PALAIS-ROYAL,7448640,Paris,2014
220,Métro,MAUBERT-MUTUALITE,2480448,Paris,2014
35,Métro,GRANDS BOULEVARDS,7345811,Paris,2014
236,Métro,BEL AIR,2249229,Paris,2014
98,Métro,PASTEUR,4655655,Paris,2014
242,Métro,MICHEL-ANGE-MOLITOR,2091229,Paris,2014
149,Métro,CADET,3485034,Paris,2014
263,Métro,FELIX FAURE,1838532,Paris,2014
187,Métro,SAINT-AUGUSTIN,2947957,Paris,2014
283,Métro,MIRABEAU,1390817,Paris,2014
198,Métro,PORTE DOREE,2822951,Paris,2014
59,RER,GIF-SUR-YVETTE,711162,Gif sur Yvette,2014
237,Métro,VILLEJUIF-PAUL VAILLANT-COUTURIER,2244984,Villejuif,2014
240,Métro,SAINT-MARCEL,2101575,Paris,2014
246,Métro,JASMIN,2047639,Paris,2014
278,Métro,VARENNE,1552036,Paris,2014
293,Métro,FALGUIERE,965829,Paris,2014
301,Métro,PELLEPORT,382266,Paris,2014
4,RER,CHATELET-LES HALLES-RER,26580053,Paris,2014
15,RER,ANTONY,6186694,Antony,2014
25,RER,VAL D'EUROPE,3703646,Serris,2014
50,RER,LES BACONNETS,1623880,Antony,2014
20,Métro,PLACE CLICHY,9346342,Paris,2014
24,Métro,PORTE MAILLOT,9089205,Paris,2014
31,Métro,BOBIGNY-PABLO PICASSO,7461452,Bobigny,2014
41,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,6927817,Aubervilliers,2014
53,Métro,VILLEJUIF-LOUIS ARAGON,6360814,Villejuif,2014
112,Métro,LA MUETTE,4328056,Paris,2014
119,Métro,RICHELIEU-DROUOT,4114054,Paris,2014
128,Métro,TERNES,3833182,Paris,2014
131,Métro,ANATOLE FRANCE,3801122,Levallois-Perret,2014
141,Métro,PORTE DE CHAMPERRET,3595140,Paris,2014
155,Métro,TOLBIAC,3419771,Paris,2014
167,Métro,GAITE,3134147,Paris,2014
170,Métro,CHARENTON-ECOLES,3111359,Charenton,2014
177,Métro,BOULOGNE-PONT DE SAINT-CLOUD,3051796,Boulogne Billancourt,2014
238,Métro,MICHEL-ANGE-AUTEUIL,2172312,Paris,2014
245,Métro,NOTRE-DAME-DES-CHAMPS,2058675,Paris,2014
250,Métro,SAINT-JACQUES,2030314,Paris,2014
258,Métro,MALAKOFF-RUE ETIENNE DOLET,1888784,Malakoff,2014
2,RER,GARE DE LYON-RER,36404818,Paris,2014
12,RER,CITE UNIVERSITAIRE,6353921,Paris,2014
13,RER,AUBER,6352580,Paris,2014
20,RER,DENFERT-ROCHEREAU-RER,4332936,Paris,2014
27,RER,SAINT-MAUR-CRETEIL,3605382,Saint-Maur des Fossés,2014
29,RER,NANTERRE-VILLE,3469961,Nanterre,2014
35,RER,BUSSY-SAINT-GEORGES,2959323,Bussy-Saint-Georges,2014
66,RER,LA HACQUINIERE,419554,Bures sur Yvette,2014
15,Métro,BELLEVILLE,11598308,Paris,2014
121,Métro,CHARONNE,3980318,Paris,2014
153,Métro,PARMENTIER,3455199,Paris,2014
172,Métro,LAMARCK-CAULAINCOURT,3094805,Paris,2014
233,Métro,TRINITE-D'ESTIENNE D'ORVES,2302331,Paris,2014
241,Métro,LA TOUR-MAUBOURG,2096559,Paris,2014
280,Métro,CHEMIN VERT,1488841,Paris,2014
1,RER,GARE DU NORD-RER,48205117,Paris,2014
18,RER,NANTERRE-UNIVERSITE,5045960,Nanterre,2014
60,RER,SCEAUX,701293,sceaux,2014
31,RER,PORT ROYAL,3322322,Paris,2014
54,RER,PALAISEAU,954855,Palaiseau,2014
56,Métro,VILLIERS,6257050,Paris,2014
64,Métro,MIROMESNIL,5841806,Paris,2014
95,Métro,PONT DE SEVRES,4701284,Boulogne Billancourt,2014
103,Métro,PORTE DE BAGNOLET,4495023,Paris,2014
144,Métro,CENSIER-DAUBENTON,3566470,Paris,2014
146,Métro,CRETEIL-UNIVERSITE,3522563,Créteil,2014
161,Métro,PERNETY,3282156,Paris,2014
182,Métro,SIMPLON,2994372,Paris,2014
188,Métro,ARGENTINE,2947071,Paris,2014
212,Métro,CRETEIL-POINTE DU LAC,2564228,Créteil,2014
228,Métro,LES AGNETTES,2386282,Asnières sur Seine,2014
290,Métro,QUAI DE LA RAPEE,1197619,Paris,2014
14,RER,RUEIL-MALMAISON,6302437,Rueil-Malmaison,2014
22,Métro,GARE D'AUSTERLITZ,9210572,Paris,2014
54,Métro,LA CHAPELLE,6352766,Paris,2014
72,Métro,CHATEAU DE VINCENNES,5365513,Vincennes,2014
105,Métro,JULES JOFFRIN,4464152,Paris,2014
132,Métro,BOULOGNE-JEAN JAURES,3797640,Boulogne Billancourt,2014
137,Métro,EGLISE DE PANTIN,3633009,Pantin,2014
173,Métro,RUE DE LA POMPE,3093242,Paris,2014
186,Métro,SAINT-MAUR,2961357,Paris,2014
197,Métro,SAINT-PHILIPPE-DU-ROULE,2840177,Paris,2014
202,Métro,RUE DES BOULETS,2693345,Paris,2014
211,Métro,CAMBRONNE,2565239,Paris,2014
215,Métro,CORVISART,2538729,Paris,2014
259,Métro,PONT NEUF,1886611,Paris,2014
267,Métro,SAINT-SEBASTIEN-FROISSART,1804340,Paris,2014
302,Métro,PRE-SAINT-GERVAIS,350959,Paris,2014
9,RER,SAINT-MICHEL-NOTRE-DAME,7773356,Paris,2014
24,RER,SAINT-GERMAIN-EN-LAYE,4000603,Saint-Germain-en-Laye,2014
48,RER,GENTILLY,1917456,Gentilly,2014
25,Métro,CHARLES DE GAULLE-ETOILE,8941588,Paris,2014
38,Métro,BIR-HAKEIM,7094930,Paris,2014
140,Métro,FUNICULAIRE,3596114,Paris,2014
142,Métro,PORTE DE LA VILLETTE,3583870,Paris,2014
152,Métro,BROCHANT,3471022,Paris,2014
248,Métro,MICHEL BIZOT,2043217,Paris,2014
281,Métro,SULLY-MORLAND,1468391,Paris,2014
6,RER,VAL DE FONTENAY,12157778,Fontenay-sous-Bois,2014
19,RER,NEUILLY-PLAISANCE,5014436,Neuilly-sur-Seine,2014
16,Métro,PLACE D'ITALIE,11542761,Paris,2014
66,Métro,COUR SAINT-EMILION,5805955,Paris,2014
89,Métro,PORTE DE MONTREUIL,4906785,Paris,2014
116,Métro,DENFERT-ROCHEREAU,4268859,Paris,2014
147,Métro,GONCOURT,3517379,Paris,2014
160,Métro,BOURSE,3293898,Paris,2014
191,Métro,ETIENNE MARCEL,2897367,Paris,2014
201,Métro,COURCELLES,2733589,Paris,2014
216,Métro,SOLFERINO,2534934,Paris,2014
286,Métro,CAMPO-FORMIO,1280674,Paris,2014
36,RER,NOGENT-SUR-MARNE,2771411,Nogent-sur-Marne,2014
44,RER,ROBINSON,2057844,Sceaux,2014
55,RER,SAINT-REMY-LES-CHEVREUSE,904642,St-Rémy-Lès-Chevreuse,2014
3,Métro,GARE DE LYON,35162388,Paris,2014
33,Métro,INVALIDES,7420581,Paris,2014
47,Métro,ANVERS,6780971,Paris,2014
50,Métro,PORTE DE VERSAILLES,6424182,Paris,2014
58,Métro,PIGALLE,6176020,Paris,2014
87,Métro,BONNE NOUVELLE,4932874,Paris,2014
93,Métro,PORTE DE PANTIN,4749922,Paris,2014
265,Métro,MONTGALLET,1823041,Paris,2014
269,Métro,MOUTON-DUVERNET,1752336,Paris,2014
8,RER,MASSY-PALAISEAU,8615200,Massy,2014
62,RER,FONTAINE-MICHALON,639164,Antony,2014
291,Métro,ASSEMBLEE NATIONALE,1142259,Paris,2014
26,RER,TORCY,3631640,Torcy,2014
19,Métro,TROCADERO,9516364,Paris,2014
43,Métro,CHATEAU ROUGE,6879272,Paris,2014
63,Métro,MARCEL SEMBAT,5916640,Boulogne Billancourt,2014
68,Métro,CONVENTION,5614573,Paris,2014
83,Métro,PYRAMIDES,5096769,Paris,2014
84,Métro,HOCHE,5040191,Pantin,2014
91,Métro,GLACIERE,4827308,Paris,2014
175,Métro,FAIDHERBE-CHALIGNY,3073785,Paris,2014
210,Métro,WAGRAM,2575870,Paris,2014
288,Métro,TEMPLE,1222777,Paris,2014
298,Métro,DANUBE,617424,Paris,2014
61,RER,BURES-SUR-YVETTE,662982,Bures sur Yvette,2014
10,Métro,BASTILLE,13590937,Paris,2014
27,Métro,PORTE DE CLIGNANCOURT,8663554,Paris,2014
37,Métro,CONCORDE,7102855,Paris,2014
46,Métro,CRIMEE,6800500,Paris,2014
81,Métro,CROIX DE CHAVAUX,5198911,Montreuil,2014
156,Métro,PYRENEES,3404189,Paris,2014
176,Métro,CHEVALERET,3055302,Paris,2014
204,Métro,JAVEL-ANDRE CITROEN,2654991,Paris,2014
209,Métro,MALESHERBES,2601913,Paris,2014
222,Métro,CRETEIL-L'ECHAT,2465183,Créteil,2014
254,Métro,AVRON,1916547,Paris,2014
282,Métro,PIERRE CURIE,1406411,Ivry,2014
289,Métro,KLEBER,1203757,Paris,2014
297,Métro,CHARDON-LAGACHE,639607,Paris,2014
303,Métro,EGLISE D'AUTEUIL,179058,Paris,2014
11,RER,VINCENNES,6474243,Vincennes,2014
64,RER,COURCELLE-SUR-YVETTE,566605,Gif sur Yvette,2014
6,Métro,REPUBLIQUE,18224965,Paris,2014
7,Métro,LES HALLES,17991605,Paris,2014
36,Métro,MAIRIE DE CLICHY,7129195,Clichy,2014
55,Métro,GEORGE V,6273359,Paris,2014
85,Métro,PONT DE LEVALLOIS-BECON,5033694,Levallois-Perret,2014
126,Métro,ALEXANDRE DUMAS,3846473,Paris,2014
181,Métro,COMMERCE,2996497,Paris,2014
189,Métro,PORTE DE LA CHAPELLE,2939078,Paris,2014
247,Métro,MAISON BLANCHE,2043760,Paris,2014
255,Métro,PORTE DE CHARENTON,1902697,Paris,2014
262,Métro,QUATRE-SEPTEMBRE,1850860,Paris,2014
275,Métro,LIEGE,1659751,Paris,2014
294,Métro,VANEAU,959858,Paris,2014
300,Métro,BUTTES-CHAUMONT,492601,Paris,2014
45,RER,CHATOU-CROISSY,2050458,Chatou,2014
23,Métro,BARBES-ROCHECHOUART,9178399,Paris,2014
40,Métro,OLYMPIADES,7000540,Paris,2014
42,Métro,MADELEINE,6889442,Paris,2014
49,Métro,MAIRIE DE MONTREUIL,6517125,Montreuil,2014
79,Métro,VOLTAIRE,5217446,Paris,2014
110,Métro,ROBESPIERRE,4394418,Montreuil,2014
139,Métro,LES GOBELINS,3603185,Paris,2014
163,Métro,ECOLE VETERINAIRE DE MAISONS-ALFORT,3234540,Maisons -Alfort,2014
180,Métro,NOTRE-DAME-DE-LORETTE,3002608,Paris,2014
243,Métro,BREGUET-SABIN,2085448,Paris,2014
260,Métro,PHILIPPE AUGUSTE,1883838,Paris,2014
266,Métro,RASPAIL,1819535,Paris,2014
58,RER,LOZERE,757466,Palaiseau,2014
9,Métro,LA DEFENSE,14367265,Puteaux,2014
52,Métro,MARCADET-POISSONNIERS,6388263,Paris,2014
60,Métro,SAINT-MANDE-TOURELLE,6069483,Saint Mandé,2014
61,Métro,ODEON,6059691,Paris,2014
75,Métro,REAUMUR-SEBASTOPOL,5326171,Paris,2014
101,Métro,LAUMIERE,4582224,Paris,2014
129,Métro,LEDRU-ROLLIN,3830872,Paris,2014
134,Métro,MALAKOFF-PLATEAU DE VANVES,3735305,Malakoff,2014
165,Métro,PLACE DES FETES,3180164,Paris,2014
213,Métro,ABBESSES,2555092,Paris,2014
218,Métro,RUE DU BAC,2529823,Paris,2014
219,Métro,CLUNY LA SORBONNE,2483282,Paris,2014
239,Métro,MAISONS-ALFORT-LES JUILLIOTTES,2137509,Maisons -Alfort,2014
244,Métro,EDGAR QUINET,2081259,Paris,2014
249,Métro,EXELMANS,2040930,Paris,2014
270,Métro,MAISONS-ALFORT-STADE,1750437,Maisons -Alfort,2014
5,RER,NANTERRE-PREFECTURE,23817046,Nanterre,2014
51,RER,LOGNES,1563658,Lognes,2014
43,RER,LE PARC DE SAINT-MAUR,2100682,Saint-Maur des Fossés,2014
11,Métro,HOTEL DE VILLE,12621901,Paris,2014
62,Métro,JAURES,5960472,Paris,2014
70,Métro,BASILIQUE DE SAINT-DENIS,5434754,Saint Denis,2014
86,Métro,PERE LACHAISE,4932986,Paris,2014
90,Métro,CHARLES MICHELS,4897053,Paris,2014
122,Métro,CHATEAU D'EAU,3967264,Paris,2014
133,Métro,PORTE DE SAINT-OUEN,3776345,Paris,2014
168,Métro,OBERKAMPF,3133981,Paris,2014
184,Métro,MAIRIE D'IVRY,2975244,Ivry,2014
194,Métro,SAINT-AMBROISE,2877583,Paris,2014
223,Métro,RIQUET,2452712,Paris,2014
256,Métro,BUZENVAL,1896837,Paris,2014
261,Métro,PORTE D'IVRY,1869444,Paris,2014
273,Métro,PONT MARIE,1695690,Paris,2014
39,RER,BOISSY-SAINT-LEGER,2315642,Boissy-Saint-Léger,2014
63,RER,MASSY-VERRIERES,566720,Massy,2014
71,Métro,CHATEAU DE VINCENNES,5426141,Vincennes,2015
81,Métro,RICHELIEU-DROUOT,5101192,Paris,2015
106,Métro,ROBESPIERRE,4421143,Montreuil,2015
107,Métro,JULES JOFFRIN,4409922,Paris,2015
142,Métro,ALEXANDRE DUMAS,3666961,Paris,2015
224,Métro,PORTE D'ITALIE,2360419,Paris,2015
247,Métro,LOUVRE,2050455,Paris,2015
268,Métro,FILLES DU CALVAIRE,1749843,Paris,2015
39,Métro,MADELEINE,6940577,Paris,2015
51,Métro,JAURES,6475842,Paris,2015
66,Métro,COUR SAINT-EMILION,5781997,Paris,2015
134,Métro,VAUGIRARD,3740275,Paris,2015
237,Métro,BEL AIR,2176466,Paris,2015
56,RER,LE GUICHET,885211,Orsay,2015
7,RER,MASSY-PALAISEAU,8594667,Massy,2015
58,RER,LOZERE,784100,Palaiseau,2015
269,Métro,SAINT-FRANCOIS-XAVIER,1743488,Paris,2015
280,Métro,SULLY-MORLAND,1472158,Paris,2015
2,RER,GARE DE LYON-RER,36576706,Paris,2015
14,RER,AUBER,6169061,Paris,2015
43,RER,LE PARC DE SAINT-MAUR,2068180,Saint-Maur des Fossés,2015
75,Métro,SEVRES-BABYLONE,5237966,Paris,2015
111,Métro,DENFERT-ROCHEREAU,4277194,Paris,2015
163,Métro,SAINT-PLACIDE,3251968,Paris,2015
209,Métro,PARMENTIER,2570537,Paris,2015
212,Métro,VOLONTAIRES,2442576,Paris,2015
241,Métro,LA TOUR-MAUBOURG,2107616,Paris,2015
270,Métro,LIEGE,1676715,Paris,2015
289,Métro,SAINT-GEORGES,1229469,Paris,2015
46,RER,BRY-SUR-MARNE,2030950,Bry-sur-Marne,2015
18,Métro,PALAIS-ROYAL,10060631,Paris,2015
19,Métro,STRASBOURG-SAINT-DENIS,9917647,Paris,2015
96,Métro,PONT DE SEVRES,4707039,Boulogne Billancourt,2015
179,Métro,MAIRIE D'IVRY,3003702,Ivry,2015
16,Métro,BELLEVILLE,11464280,Paris,2015
21,Métro,PLACE CLICHY,9186051,Paris,2015
24,Métro,NATION,8939092,Paris,2015
49,Métro,PORTE DE VINCENNES,6604200,Paris,2015
95,Métro,CHAMPS-ELYSEES-CLEMENCEAU,4714927,Paris,2015
97,Métro,PORTE DE MONTREUIL,4671043,Paris,2015
141,Métro,TERNES,3667504,Paris,2015
235,Métro,SAINT-MARCEL,2205398,Paris,2015
244,Métro,CORVISART,2074560,Paris,2015
50,RER,LES BACONNETS,1670479,Antony,2015
116,Métro,JUSSIEU,4162809,Paris,2015
140,Métro,MARX DORMOY,3676216,Paris,2015
165,Métro,CORENTIN CARIOU,3235983,Paris,2015
208,Métro,VILLEJUIF-LEO LAGRANGE,2574945,Villejuif,2015
281,Métro,AVENUE EMILE ZOLA,1470809,Paris,2015
285,Métro,KLEBER,1266145,Paris,2015
290,Métro,QUAI DE LA RAPEE,1186493,Paris,2015
302,Métro,PRE-SAINT-GERVAIS,353892,Paris,2015
34,RER,LA CROIX DE BERNY,2987262,Antony,2015
40,RER,ORSAY-VILLE,2286955,Orsay,2015
26,Métro,TROCADERO,8895309,Paris,2015
30,Métro,LA MOTTE-PICQUET-GRENELLE,7972850,Paris,2015
37,Métro,CHATILLON-MONTROUGE,7124158,Chatillon,2015
46,Métro,STALINGRAD,6629154,Paris,2015
87,Métro,REAUMUR-SEBASTOPOL,4935953,Paris,2015
127,Métro,DUPLEIX,3852225,Paris,2015
166,Métro,SAINT-MAUR,3230397,Paris,2015
225,Métro,RUE DU BAC,2346931,Paris,2015
263,Métro,MABILLON,1794086,Paris,2015
284,Métro,PICPUS,1321636,Paris,2015
63,RER,MASSY-VERRIERES,586015,Massy,2015
62,Métro,PIGALLE,5890360,Paris,2015
138,Métro,PORTE DES LILAS,3695614,Paris,2015
8,Métro,BIBLIOTHEQUE,16433305,Paris,2015
42,Métro,PONT DE NEUILLY,6786803,Neuilly Sur Seine,2015
65,Métro,MARCEL SEMBAT,5783355,Boulogne Billancourt,2015
82,Métro,GLACIERE,5083429,Paris,2015
3,Métro,GARE DE LYON,35926081,Paris,2015
186,Métro,BERAULT,2965952,Vincennes,2015
10,Métro,BASTILLE,13438906,Paris,2015
218,Métro,LOURMEL,2412341,Paris,2015
86,Métro,SAINT-DENIS-UNIVERSITE,4969367,Saint Denis,2015
220,Métro,LOUIS BLANC,2395333,Paris,2015
150,Métro,DUROC,3509587,Paris,2015
254,Métro,AVRON,1958808,Paris,2015
243,Métro,MICHEL-ANGE-MOLITOR,2101155,Paris,2015
296,Métro,PORTE D'AUTEUIL,671481,Paris,2015
261,Métro,FELIX FAURE,1810078,Paris,2015
45,RER,GENTILLY,2031709,Gentilly,2015
271,Métro,CHATEAU-LANDON,1663800,Paris,2015
155,Métro,JOURDAIN,3418774,Paris,2015
288,Métro,TEMPLE,1239969,Paris,2015
175,Métro,CHARENTON-ECOLES,3078684,Charenton,2015
292,Métro,BOTZARIS,976263,Paris,2015
233,Métro,VILLEJUIF-PAUL VAILLANT-COUTURIER,2246780,Villejuif,2015
1,Métro,GARE DU NORD,50793797,Paris,2015
260,Métro,MALAKOFF-RUE ETIENNE DOLET,1832499,Malakoff,2015
69,Métro,LA COURNEUVE-8 MAI 1945,5662148,La Courneuve,2015
73,Métro,BERCY,5352928,Paris,2015
118,Métro,LA MUETTE,4050143,Paris,2015
185,Métro,ARGENTINE,2972019,Paris,2015
129,Métro,LEDRU-ROLLIN,3820123,Paris,2015
206,Métro,JACQUES BONSERGENT,2591769,Paris,2015
154,Métro,BROCHANT,3434660,Paris,2015
252,Métro,NOTRE-DAME-DES-CHAMPS,2016157,Paris,2015
161,Métro,GARIBALDI,3341274,Saint Ouen,2015
264,Métro,SAINT-SEBASTIEN-FROISSART,1785413,Paris,2015
274,Métro,SEGUR,1635557,Paris,2015
51,RER,LOGNES,1584501,Lognes,2015
37,RER,NOISIEL,2687790,Noisiel,2015
15,Métro,FRANKLIN D. ROOSEVELT,11571562,Paris,2015
31,Métro,HAVRE-CAUMARTIN,7506005,Paris,2015
13,RER,ANTONY,6320636,Antony,2015
32,RER,LAPLACE,3336242,Arcueil,2015
35,Métro,MAIRIE DE CLICHY,7138355,Clichy,2015
102,Métro,ECOLE MILITAIRE,4565508,Paris,2015
137,Métro,PORTE DE LA VILLETTE,3712707,Paris,2015
172,Métro,BOULOGNE-PONT DE SAINT-CLOUD,3081186,Boulogne Billancourt,2015
231,Métro,VAVIN,2275955,Paris,2015
239,Métro,MAISONS-ALFORT-LES JUILLIOTTES,2124343,Maisons -Alfort,2015
2,Métro,SAINT-LAZARE,45309544,Paris,2015
272,Métro,MONCEAU,1662064,Paris,2015
53,Métro,ANVERS,6432199,Paris,2015
4,RER,CHATELET-LES HALLES-RER,26017693,Paris,2015
80,Métro,PORTE DE PANTIN,5103076,Paris,2015
64,Métro,LES SABLONS,5795500,Neuilly Sur Seine,2015
84,Métro,CRETEIL-PREFECTURE,4986457,Créteil,2015
77,Métro,ALESIA,5124204,Paris,2015
94,Métro,BASILIQUE DE SAINT-DENIS,4782355,Saint Denis,2015
222,Métro,MAUBERT-MUTUALITE,2362705,Paris,2015
180,Métro,PLACE MONGE,2995211,Paris,2015
17,Métro,ESPLANADE DE LA DEFENSE,10280556,Puteaux,2015
4,Métro,MONTPARNASSE-BIENVENUE,31229210,Paris,2015
259,Métro,PHILIPPE AUGUSTE,1854806,Paris,2015
101,Métro,GUY MOQUET,4577860,Paris,2015
29,Métro,SAINT-MICHEL,8072295,Paris,2015
22,Métro,BARBES-ROCHECHOUART,9174366,Paris,2015
151,Métro,SENTIER,3509454,Paris,2015
36,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,7131674,Aubervilliers,2015
23,Métro,PORTE MAILLOT,8976380,Paris,2015
207,Métro,LIBERTE,2581261,Charenton,2015
68,Métro,MAIRIE DE MONTROUGE,5757464,Montrouge,2015
100,Métro,PEREIRE,4643622,Paris,2015
240,Métro,SAINT-JACQUES,2112450,Paris,2015
76,Métro,GABRIEL PERI,5235722,Asnières,2015
123,Métro,ARTS ET METIERS,3908721,Paris,2015
248,Métro,EXELMANS,2029772,Paris,2015
205,Métro,CRETEIL-POINTE DU LAC,2595126,Créteil,2015
17,RER,MARNE-LA-VALLEE-CHESSY,5246229,Montévrain,2015
283,Métro,MIRABEAU,1371020,Paris,2015
299,Métro,BOLIVAR,569990,Paris,2015
18,RER,NEUILLY-PLAISANCE,5039115,Neuilly-sur-Seine,2015
5,Métro,GARE DE L'EST,20377794,Paris,2015
57,RER,PALAISEAU-VILLEBON,885207,Palaiseau,2015
54,RER,PALAISEAU,985245,Palaiseau,2015
20,Métro,GARE D'AUSTERLITZ,9295236,Paris,2015
112,Métro,SAINT-GERMAIN DES PRES,4271760,Paris,2015
246,Métro,BREGUET-SABIN,2065295,Paris,2015
90,Métro,CHARLES MICHELS,4851393,Paris,2015
131,Métro,ANATOLE FRANCE,3780611,Levallois-Perret,2015
251,Métro,JASMIN,2017822,Paris,2015
105,Métro,LAUMIERE,4422042,Paris,2015
162,Métro,FUNICULAIRE,3299668,Paris,2015
294,Métro,FALGUIERE,875978,Paris,2015
164,Métro,ECOLE VETERINAIRE DE MAISONS-ALFORT,3251160,Maisons -Alfort,2015
173,Métro,RUE DE LA POMPE,3080833,Paris,2015
1,RER,GARE DU NORD-RER,47759711,Paris,2015
171,Métro,CHEVALERET,3105942,Paris,2015
201,Métro,NATIONALE,2666856,Paris,2015
11,RER,CITE UNIVERSITAIRE,6662323,Paris,2015
178,Métro,ETIENNE MARCEL,3033877,Paris,2015
204,Métro,RUE DES BOULETS,2598900,Paris,2015
21,RER,NOISY-CHAMPS,4433525,Champs-sur-Marne,2015
189,Métro,SAINT-AUGUSTIN,2921864,Paris,2015
298,Métro,DANUBE,636385,Paris,2015
35,RER,BUSSY-SAINT-GEORGES,2908666,Bussy-Saint-Georges,2015
253,Métro,MICHEL BIZOT,2015679,Paris,2015
8,RER,CHARLES DE GAULLE-ETOILE-RER,8495803,Paris,2015
194,Métro,JAVEL-ANDRE CITROEN,2813391,Paris,2015
258,Métro,RICHARD LENOIR,1857473,Paris,2015
15,RER,RUEIL-MALMAISON,5939819,Rueil-Malmaison,2015
199,Métro,MARAICHERS,2726569,Paris,2015
19,RER,NANTERRE-UNIVERSITE,4674496,Nanterre,2015
128,Métro,PASSY,3826751,Paris,2015
210,Métro,FRONT POPULAIRE,2561027,Saint Denis / Aubervilliers,2015
41,RER,BAGNEUX,2153810,Cachan,2015
197,Métro,SAINT-PHILIPPE-DU-ROULE,2775382,Paris,2015
238,Métro,EDGAR QUINET,2165227,Paris,2015
10,RER,NOISY-LE-GRAND-MONT D'EST,7375462,Noisy-le-Grand,2015
276,Métro,PONT MARIE,1623168,Paris,2015
279,Métro,CHEMIN VERT,1472562,Paris,2015
31,RER,PORT ROYAL,3361591,Paris,2015
20,RER,DENFERT-ROCHEREAU-RER,4532274,Paris,2015
22,RER,NATION-RER,4353821,Paris,2015
59,RER,GIF-SUR-YVETTE,735448,Gif sur Yvette,2015
7,Métro,LES HALLES,17384446,Paris,2015
30,RER,CHAMPIGNY,3385631,Saint-Maur des Fossés,2015
257,Métro,PORTE D'IVRY,1865805,Paris,2015
34,Métro,GAMBETTA,7142788,Paris,2015
27,Métro,PORTE DE CLIGNANCOURT,8471130,Paris,2015
48,RER,ROBINSON,2002299,Sceaux,2015
99,Métro,COLONEL FABIEN,4644115,Paris,2015
47,Métro,LA CHAPELLE,6622224,Paris,2015
65,RER,PARC DE SCEAUX,564320,Antony,2015
135,Métro,PORTE DE SAINT-OUEN,3739205,Paris,2015
92,Métro,PERE LACHAISE,4824175,Paris,2015
91,Métro,PASTEUR,4849120,Paris,2015
193,Métro,NOTRE-DAME-DE-LORETTE,2853470,Paris,2015
122,Métro,OBERKAMPF,3978333,Paris,2015
108,Métro,PORTE DE BAGNOLET,4390819,Paris,2015
203,Métro,MALESHERBES,2604947,Paris,2015
